"filename", "language", "TypeScript", "Vue", "comment", "blank", "total"
"d:\share2\electron-vue\src\schema\base.ts", "TypeScript", 28, 0, 1, 2, 31
"d:\share2\electron-vue\src\schema\baseEdit.ts", "TypeScript", 17, 0, 0, 1, 18
"d:\share2\electron-vue\src\schema\businessTable\basicEntity.ts", "TypeScript", 497, 0, 34, 5, 536
"d:\share2\electron-vue\src\schema\businessTable\basicEntityFn.ts", "TypeScript", 96, 0, 64, 12, 172
"d:\share2\electron-vue\src\schema\businessTable\contextMenu.ts", "TypeScript", 129, 0, 26, 3, 158
"d:\share2\electron-vue\src\schema\businessTable\detailEntity.ts", "TypeScript", 78, 0, 6, 5, 89
"d:\share2\electron-vue\src\schema\businessTable\detailEntityGroup.ts", "TypeScript", 88, 0, 2, 2, 92
"d:\share2\electron-vue\src\schema\businessTable\mainEditEntity.ts", "TypeScript", 130, 0, 7, 4, 141
"d:\share2\electron-vue\src\schema\businessTable\mainEntity.ts", "TypeScript", 91, 0, 6, 4, 101
"d:\share2\electron-vue\src\schema\businessTable\pageTree.ts", "TypeScript", 79, 0, 4, 5, 88
"d:\share2\electron-vue\src\schema\businessTable\searchEntity.ts", "TypeScript", 7, 0, 0, 3, 10
"d:\share2\electron-vue\src\schema\businessTable\treeEntity.ts", "TypeScript", 11, 0, 0, 3, 14
"d:\share2\electron-vue\src\schema\button.ts", "TypeScript", 73, 0, 0, 1, 74
"d:\share2\electron-vue\src\schema\buttonFn.ts", "TypeScript", 10, 0, 2, 2, 14
"d:\share2\electron-vue\src\schema\buttonGroup.ts", "TypeScript", 74, 0, 1, 2, 77
"d:\share2\electron-vue\src\schema\column.ts", "TypeScript", 143, 0, 2, 13, 158
"d:\share2\electron-vue\src\schema\columnFn.ts", "TypeScript", 323, 0, 26, 39, 388
"d:\share2\electron-vue\src\schema\command.ts", "TypeScript", 3, 0, 0, 1, 4
"d:\share2\electron-vue\src\schema\createFn.ts", "TypeScript", 9, 0, 3, 2, 14
"d:\share2\electron-vue\src\schema\designForm.ts", "TypeScript", 60, 0, 1, 9, 70
"d:\share2\electron-vue\src\schema\dialog.ts", "TypeScript", 278, 0, 14, 10, 302
"d:\share2\electron-vue\src\schema\dialogComponent\baseInfoDialog.ts", "TypeScript", 24, 0, 1, 6, 31
"d:\share2\electron-vue\src\schema\dialogComponent\confirmDialog.ts", "TypeScript", 54, 0, 1, 7, 62
"d:\share2\electron-vue\src\schema\dialogComponent\defaultDialog.ts", "TypeScript", 17, 0, 0, 1, 18
"d:\share2\electron-vue\src\schema\dialogComponent\defaultFooter.ts", "TypeScript", 10, 0, 0, 2, 12
"d:\share2\electron-vue\src\schema\dialogComponent\entitySearchDialog.ts", "TypeScript", 53, 0, 0, 4, 57
"d:\share2\electron-vue\src\schema\dialogComponent\index.ts", "TypeScript", 7, 0, 1, 1, 9
"d:\share2\electron-vue\src\schema\dialogComponent\vueComponent\entitySearch.vue", "Vue", 0, 7, 0, 4, 11
"d:\share2\electron-vue\src\schema\dialogFn.ts", "TypeScript", 205, 0, 0, 21, 226
"d:\share2\electron-vue\src\schema\editClass\baseInfo.ts", "TypeScript", 180, 0, 6, 4, 190
"d:\share2\electron-vue\src\schema\editClass\baseInfoTable.ts", "TypeScript", 66, 0, 3, 4, 73
"d:\share2\electron-vue\src\schema\editClass\bool.ts", "TypeScript", 24, 0, 0, 3, 27
"d:\share2\electron-vue\src\schema\editClass\number.ts", "TypeScript", 12, 0, 0, 4, 16
"d:\share2\electron-vue\src\schema\editClass\select.ts", "TypeScript", 75, 0, 2, 2, 79
"d:\share2\electron-vue\src\schema\editClass\string.ts", "TypeScript", 42, 0, 0, 2, 44
"d:\share2\electron-vue\src\schema\editClass\time.ts", "TypeScript", 41, 0, 1, 5, 47
"d:\share2\electron-vue\src\schema\editClass\wangEditor.ts", "TypeScript", 24, 0, 0, 3, 27
"d:\share2\electron-vue\src\schema\editComponent\baseInfoView.ts", "TypeScript", 143, 0, 2, 4, 149
"d:\share2\electron-vue\src\schema\editComponent\baseInfoView1.ts", "TypeScript", 178, 0, 3, 2, 183
"d:\share2\electron-vue\src\schema\editComponent\boolView.ts", "TypeScript", 53, 0, 0, 2, 55
"d:\share2\electron-vue\src\schema\editComponent\datetimeView.ts", "TypeScript", 38, 0, 1, 1, 40
"d:\share2\electron-vue\src\schema\editComponent\formitemView.ts", "TypeScript", 41, 0, 1, 1, 43
"d:\share2\electron-vue\src\schema\editComponent\numberRangeView.ts", "TypeScript", 84, 0, 0, 2, 86
"d:\share2\electron-vue\src\schema\editComponent\numberView.ts", "TypeScript", 48, 0, 0, 2, 50
"d:\share2\electron-vue\src\schema\editComponent\selectView.ts", "TypeScript", 61, 0, 0, 1, 62
"d:\share2\electron-vue\src\schema\editComponent\stringRangeView.ts", "TypeScript", 84, 0, 0, 2, 86
"d:\share2\electron-vue\src\schema\editComponent\stringView.ts", "TypeScript", 47, 0, 0, 2, 49
"d:\share2\electron-vue\src\schema\entityButton.ts", "TypeScript", 191, 0, 5, 5, 201
"d:\share2\electron-vue\src\schema\entityColumn.ts", "TypeScript", 327, 0, 25, 7, 359
"d:\share2\electron-vue\src\schema\entityTable.ts", "TypeScript", 12, 0, 5, 3, 20
"d:\share2\electron-vue\src\schema\form.ts", "TypeScript", 83, 0, 1, 1, 85
"d:\share2\electron-vue\src\schema\formFn.ts", "TypeScript", 16, 0, 1, 3, 20
"d:\share2\electron-vue\src\schema\formitem.ts", "TypeScript", 152, 0, 8, 2, 162
"d:\share2\electron-vue\src\schema\formitemComFn.ts", "TypeScript", 73, 0, 18, 16, 107
"d:\share2\electron-vue\src\schema\formitemFn.ts", "TypeScript", 54, 0, 18, 10, 82
"d:\share2\electron-vue\src\schema\http.ts", "TypeScript", 100, 0, 3, 4, 107
"d:\share2\electron-vue\src\schema\icon.ts", "TypeScript", 63, 0, 5, 15, 83
"d:\share2\electron-vue\src\schema\index.ts", "TypeScript", 1, 0, 0, 1, 2
"d:\share2\electron-vue\src\schema\input.ts", "TypeScript", 181, 0, 2, 4, 187
"d:\share2\electron-vue\src\schema\layoutGrid.ts", "TypeScript", 37, 0, 7, 1, 45
"d:\share2\electron-vue\src\schema\layoutGridFn.ts", "TypeScript", 93, 0, 10, 7, 110
"d:\share2\electron-vue\src\schema\list.ts", "TypeScript", 19, 0, 0, 2, 21
"d:\share2\electron-vue\src\schema\menu.ts", "TypeScript", 351, 0, 22, 7, 380
"d:\share2\electron-vue\src\schema\popup.ts", "TypeScript", 37, 0, 0, 2, 39
"d:\share2\electron-vue\src\schema\popupFn.ts", "TypeScript", 8, 0, 0, 1, 9
"d:\share2\electron-vue\src\schema\schemaComponent\baseInfoInputView.ts", "TypeScript", 29, 0, 7, 0, 36
"d:\share2\electron-vue\src\schema\schemaComponent\buttonGroupView.ts", "TypeScript", 28, 0, 2, 3, 33
"d:\share2\electron-vue\src\schema\schemaComponent\buttonView.ts", "TypeScript", 18, 0, 14, 1, 33
"d:\share2\electron-vue\src\schema\schemaComponent\contextMenuView.ts", "TypeScript", 9, 0, 4, 1, 14
"d:\share2\electron-vue\src\schema\schemaComponent\detailEntityView.ts", "TypeScript", 26, 0, 12, 1, 39
"d:\share2\electron-vue\src\schema\schemaComponent\dialogView.ts", "TypeScript", 21, 0, 0, 1, 22
"d:\share2\electron-vue\src\schema\schemaComponent\entityView.ts", "TypeScript", 21, 0, 7, 1, 29
"d:\share2\electron-vue\src\schema\schemaComponent\formView.ts", "TypeScript", 23, 0, 0, 3, 26
"d:\share2\electron-vue\src\schema\schemaComponent\inputView.ts", "TypeScript", 113, 0, 2, 0, 115
"d:\share2\electron-vue\src\schema\schemaComponent\instanceView.ts", "TypeScript", 13, 0, 0, 0, 13
"d:\share2\electron-vue\src\schema\schemaComponent\layoutGridView.ts", "TypeScript", 10, 0, 0, 0, 10
"d:\share2\electron-vue\src\schema\schemaComponent\menuItemView.ts", "TypeScript", 9, 0, 0, 0, 9
"d:\share2\electron-vue\src\schema\schemaComponent\menuView.ts", "TypeScript", 9, 0, 0, 1, 10
"d:\share2\electron-vue\src\schema\schemaComponent\popupView.ts", "TypeScript", 11, 0, 1, 1, 13
"d:\share2\electron-vue\src\schema\schemaComponent\tabView.ts", "TypeScript", 21, 0, 0, 0, 21
"d:\share2\electron-vue\src\schema\schemaComponent\tableView.ts", "TypeScript", 32, 0, 0, 3, 35
"d:\share2\electron-vue\src\schema\selectEdit.ts", "TypeScript", 56, 0, 1, 2, 59
"d:\share2\electron-vue\src\schema\selectEditFn.ts", "TypeScript", 24, 0, 0, 4, 28
"d:\share2\electron-vue\src\schema\system.ts", "TypeScript", 283, 0, 12, 7, 302
"d:\share2\electron-vue\src\schema\tab.ts", "TypeScript", 101, 0, 0, 5, 106
"d:\share2\electron-vue\src\schema\table.ts", "TypeScript", 349, 0, 16, 6, 371
"d:\share2\electron-vue\src\schema\tableColumnCom\allCom.ts", "TypeScript", 4, 0, 0, 3, 7
"d:\share2\electron-vue\src\schema\tableColumnCom\checkboxCom.ts", "TypeScript", 55, 0, 2, 1, 58
"d:\share2\electron-vue\src\schema\tableColumnCom\columnFilterCom.ts", "TypeScript", 102, 0, 2, 1, 105
"d:\share2\electron-vue\src\schema\tableColumnCom\defaultCom.ts", "TypeScript", 107, 0, 53, 1, 161
"d:\share2\electron-vue\src\schema\tableColumnCom\defaultHeaderCom.ts", "TypeScript", 40, 0, 12, 7, 59
"d:\share2\electron-vue\src\schema\tableColumnCom\showValueCom.ts", "TypeScript", 104, 0, 2, 1, 107
"d:\share2\electron-vue\src\schema\tableDialogConfig.ts", "TypeScript", 67, 0, 0, 0, 67
"d:\share2\electron-vue\src\schema\tableFn.ts", "TypeScript", 614, 0, 52, 38, 704
"d:\share2\electron-vue\src\schema\tableFnCom.ts", "TypeScript", 0, 0, 0, 1, 1
"d:\share2\electron-vue\src\schema\tableMethod.ts", "TypeScript", 5, 0, 0, 0, 5
"d:\share2\electron-vue\src\schema\tableStaticData.ts", "TypeScript", 19, 0, 0, 2, 21
"Total", "-", 7956, 7, 552, 406, 8921